time,sha1_cert,reason
2/28/17 17:22,4290401916563b1ae8f39f08eeae091bea58e22b,Dridex C&C
2/28/17 17:22,0045eb6e50c1ccda72f94b562ee17be75cc20673,Dridex C&C
2/28/17 17:22,72a563444b6cf33fb6e022a01b876656e1edee40,Dridex C&C
2/27/17 16:08,a71d949a52c2a4378816a16f7d3f7fd79613a7ef,Gozi MITM
2/27/17 16:06,17988f125abd93193707f8f5cc174b4530177c55,Gozi MITM
2/27/17 16:04,4376a2b0b8b6d705ea51cc7248fe2767220862fa,Gozi MITM
2/27/17 13:10,562e7f2f7b3d5913a6ca64f25854d131e56c4ff7,Quakbot C&C
2/27/17 10:53,259500493b3d962686644a9a0529b1c1a060cbcc,Nexuslogger C&C
2/27/17 9:33,076163e0fd77493eb9bd252260c629b5358068ec,Quakbot C&C
2/27/17 9:32,ca7e77938cb8ca7c09fa524137d5042d6f83e21a,Quakbot C&C
2/27/17 9:32,871bfc422610b94861c17b01ba14b11e6720aed9,Quakbot C&C
2/27/17 9:30,2816278e8bbecf9da5d2f4877b6749d43b196c95,Quakbot C&C
2/27/17 9:27,cfbb8665d52d17bf981767107e43905ebde5d785,Quakbot C&C
2/27/17 9:24,9cab35a0e719706dad7f7fc285c931f1798c212d,Quakbot C&C
2/26/17 9:34,00b0195889068db84f763392dc1806f920ad030e,Quakbot C&C
2/26/17 9:32,3465fc307c1439a01cf6562b7d0f4c25aee49eb5,Quakbot C&C
2/26/17 9:29,dfaf2a46c7268b575cb17284e128aa02795276e5,Quakbot C&C
2/26/17 9:29,31710abe6215f9938e43eb9a4352299df006a59d,Quakbot C&C
2/26/17 9:29,fa58741307705799bcd1e93b098580acfe9144dc,Quakbot C&C
2/26/17 9:23,ded272f306f9a8147d00b7b5d37544f63f70bb35,Quakbot C&C
2/26/17 9:09,db410956afc97cc53de070278c24439380b4596f,Quakbot C&C
2/25/17 9:00,bb398d7ac3477e0d25140d953cc43ea2ec0415d7,Gozi MITM
2/25/17 8:59,b393aa342c1fe5e60400f11fb94b597db4472dec,Gozi MITM
2/25/17 8:58,4f12fb7cabcfc174b56d4f14329cb7be4350dd82,Gozi MITM
2/25/17 8:07,ed766b757fbef9bf965df3eb98123ebfa17eee87,Qadars C&C
2/25/17 8:00,5d231bd188441809eab34d25e0904f0c31e82452,Quakbot C&C
2/25/17 8:00,ca17e70b7290445d049d9f538976e4fad8f872a0,Quakbot C&C
2/24/17 15:10,53ea6643efeb0f3f88acde3459d95d9515d8d6f8,TorrentLocker C&C
2/24/17 12:09,685974a7ec2c69f76ed0da12e641ad95cb3dbaf1,Chthonic MITM
2/24/17 12:03,66cfd2ab2034ebcbb96e626ac8801408de1bb71e,Gozi MITM
2/24/17 10:31,cd256efac6809f14bb84c390a89819c0822c24a2,Quakbot C&C
2/24/17 10:31,11e68357b3e088a3708f1b64cf8da3017488b379,Quakbot C&C
2/24/17 10:28,7584b6d8528712da45bdcf94e160fcd894a59b7b,Quakbot C&C
2/24/17 10:27,4777bf5f0de57fcfa0b0e18a728a86957b99863c,Quakbot C&C
2/24/17 10:13,4c27cd564b05486119e47ec299f476c0f9f0dbfd,Quakbot C&C
2/24/17 10:06,207a209e4b7a5651405af780edc2406eb0bfb658,Quakbot C&C
2/24/17 10:06,d2a51b61a32277dfa61d494dc20654675feef47f,Quakbot C&C
2/24/17 10:06,4132662ada64a29d65005578c9de1c6e05d62378,Quakbot C&C
2/24/17 10:03,ffff8955e762caa27b97a22e2c6fe6d053a8f19a,Quakbot C&C
2/24/17 10:03,101b0f5b4f4e336a2e9cc82b8e00d397f4939e6b,Quakbot C&C
2/24/17 9:57,0009a66eab25c81f940e1c8324d848286d91e015,Quakbot C&C
2/24/17 9:56,1e91be5bb22234bd19cea3d2ec8b7ff1c19cbe37,Quakbot C&C
2/24/17 9:56,d9592d6246c32f60096891f066653c87d614199c,Quakbot C&C
